country_code,country_name,region,sub_region,intermediate_region,indicator_code,indicator_name,year,inflation_rate
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1960,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1961,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1962,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1963,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1964,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1965,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1966,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1967,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1968,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1969,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1970,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1971,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1972,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1973,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1974,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1975,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1976,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1977,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1978,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1979,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1980,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1981,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1982,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1983,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1984,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1985,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1986,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1987,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1988,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1989,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1990,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1991,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1992,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1993,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1994,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1995,0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1996,0
